timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2025-02-16 08:00:00,,,,,,4.9078,5.0193,4.9013,5.0144,24500.33507679,,,,,
2025-02-16 12:00:00,,,,,,5.0128,5.0207,4.8806,4.9441,40687.46519174,,,,,
2025-02-16 16:00:00,,,,,,4.9429,4.955,4.8318,4.897,30199.07019651,,,,,
2025-02-16 20:00:00,,,,,,4.8948,4.9264,4.8556,4.8816,38690.48767629,,,,,
2025-02-17 00:00:00,4.8821,5.0687,4.7773,4.8833,247617.40864109,4.8821,4.9501,4.8753,4.899,17933.3026114,,,,,
2025-02-17 04:00:00,,,,,,4.8901,4.9188,4.7927,4.8848,48178.84432698,,,,,
2025-02-17 08:00:00,,,,,,4.8639,4.9814,4.8622,4.9523,43364.65935771,,,,,
2025-02-17 12:00:00,,,,,,4.9548,5.0687,4.8933,4.9044,56769.34840804,,,,,
2025-02-17 16:00:00,,,,,,4.9001,4.9405,4.7773,4.8703,58034.86537099,,,,,
2025-02-17 20:00:00,,,,,,4.8572,4.9328,4.8567,4.8833,23336.38856597,,,,,
2025-02-18 00:00:00,4.8874,4.9115,4.5601,4.757,464837.18797179,4.8874,4.9079,4.8414,4.8935,10418.00067956,,,,,
2025-02-18 04:00:00,,,,,,4.9051,4.9115,4.6789,4.7067,100770.6531198,,,,,
2025-02-18 08:00:00,,,,,,4.7142,4.8,4.6718,4.7583,106676.26375769,,,,,
2025-02-18 12:00:00,,,,,,4.7684,4.8276,4.6232,4.6518,83773.30980981,,,,,
2025-02-18 16:00:00,,,,,,4.6547,4.6949,4.5601,4.67,118755.49152173,,,,,
2025-02-18 20:00:00,,,,,,4.6684,4.7658,4.6512,4.757,44443.4690832,,,,,
2025-02-19 00:00:00,4.7635,4.8988,4.7014,4.8865,489809.93187309,4.7635,4.789,4.7032,4.7728,36748.96062205,,,,,
2025-02-19 04:00:00,,,,,,4.7782,4.8189,4.7014,4.8146,35898.8375193,,,,,
2025-02-19 08:00:00,,,,,,4.7906,4.84,4.7602,4.8353,132467.17490288,,,,,
2025-02-19 12:00:00,,,,,,4.8388,4.8872,4.7733,4.8209,214848.60936295,,,,,
2025-02-19 16:00:00,,,,,,4.8212,4.8824,4.8119,4.8623,41424.17245101,,,,,
2025-02-19 20:00:00,,,,,,4.8641,4.8988,4.8222,4.8865,28422.1770149,,,,,
2025-02-20 00:00:00,4.887,5.0703,4.8836,5.0464,245090.96414368,4.887,4.9947,4.8836,4.9822,60055.93072514,,,,,
2025-02-20 04:00:00,,,,,,4.9766,5.0333,4.9459,4.9459,47170.48083993,,,,,
2025-02-20 08:00:00,,,,,,4.9451,4.9894,4.9255,4.9639,29669.95662616,,,,,
2025-02-20 12:00:00,,,,,,4.9657,5.0327,4.9201,4.9228,41494.03260318,,,,,
2025-02-20 16:00:00,,,,,,4.9221,5.0643,4.9221,5.045,44362.47192321,,,,,
2025-02-20 20:00:00,,,,,,5.0346,5.0703,5.0145,5.0464,22338.09142606,,,,,
2025-02-21 00:00:00,5.0464,5.3371,4.9509,5.0547,457176.98680208,5.0464,5.0598,5.0267,5.0269,76400.14230259,,,,,
2025-02-21 04:00:00,,,,,,5.0269,5.091,5.0269,5.0424,37887.79550929,,,,,
2025-02-21 08:00:00,,,,,,5.041,5.1814,5.0371,5.1583,35262.14788515,,,,,
2025-02-21 12:00:00,,,,,,5.1615,5.3371,5.1,5.1999,165057.12654111,,,,,
2025-02-21 16:00:00,,,,,,5.2047,5.2939,4.9509,4.9792,84863.41871688,,,,,
2025-02-21 20:00:00,,,,,,4.9769,5.1137,4.975,5.0547,57706.35584706,,,,,
2025-02-22 00:00:00,5.0556,5.212,5.0264,5.0432,296394.03869092,5.0556,5.212,5.0463,5.1311,79410.74443083,,,,,
2025-02-22 04:00:00,,,,,,5.1342,5.192,5.0813,5.104,17543.05479611,,,,,
2025-02-22 08:00:00,,,,,,5.0937,5.1202,5.0783,5.0936,12940.18478274,,,,,
2025-02-22 12:00:00,,,,,,5.0933,5.1303,5.0264,5.0726,100800.00357554,,,,,
2025-02-22 16:00:00,,,,,,5.0673,5.1383,5.0673,5.0899,19964.12262193,,,,,
2025-02-22 20:00:00,,,,,,5.0766,5.105,5.0375,5.0432,65735.92848377,,,,,
2025-02-23 00:00:00,5.0432,5.1296,4.8863,4.9525,150432.09792494,5.0432,5.1296,5.0343,5.0612,24554.28006547,,,,,
2025-02-23 04:00:00,,,,,,5.0646,5.1101,5.0347,5.1026,10810.06784038,,,,,
2025-02-23 08:00:00,,,,,,5.1067,5.1156,5.0148,5.0167,12017.76992089,,,,,
2025-02-23 12:00:00,,,,,,5.0167,5.0308,4.9509,4.9552,21931.97004956,,,,,
2025-02-23 16:00:00,,,,,,4.9525,4.9886,4.9315,4.9392,11312.4041223,,,,,
2025-02-23 20:00:00,,,,,,4.9389,4.9697,4.8863,4.9525,69805.60592634,,,,,
2025-02-24 00:00:00,4.9525,4.9767,4.3401,4.4081,657509.99634856,4.9525,4.9767,4.7927,4.7985,27305.75698407,,,,,
2025-02-24 04:00:00,,,,,,4.7896,4.8287,4.746,4.802,34436.34844006,,,,,
2025-02-24 08:00:00,,,,,,4.7994,4.7994,4.666,4.7329,42510.03156333,,,,,
2025-02-24 12:00:00,,,,,,4.7097,4.7579,4.6092,4.6651,138643.20142993,,,,,
2025-02-24 16:00:00,,,,,,4.6658,4.7059,4.5803,4.6195,98142.20866889,,,,,
2025-02-24 20:00:00,,,,,,4.6096,4.671,4.3401,4.4081,316472.44926228,,,,,
